type,severity,external_ref,customer_id,chef_id,currency,internal_amount,processor_amount,internal_status,processor_status,financial_impact,sources,occurred_at,detail
missing_in_settlement,high,ord_000945,cust_0201,chef_164,THB,493.29,0.00,completed,,493.29,internal,2026-05-28T02:45:37Z,internal order has no matching processor settlement
missing_in_settlement,high,ord_000509,cust_0682,chef_002,THB,488.90,0.00,completed,,488.90,internal,2026-05-27T21:47:28Z,internal order has no matching processor settlement
refund_not_applied,high,ord_000110,cust_0420,chef_110,PHP,474.87,474.87,completed,refunded,474.87,internal+processor_a,2026-05-27T11:50:17Z,processor refunded customer; internal record still shows completed
missing_in_settlement,high,ord_000642,cust_0071,chef_283,IDR,471.49,0.00,completed,,471.49,internal,2026-05-26T13:03:33Z,internal order has no matching processor settlement
missing_in_settlement,high,ord_000367,cust_0272,chef_109,IDR,460.38,0.00,completed,,460.38,internal,2026-05-28T11:40:54Z,internal order has no matching processor settlement
refund_not_applied,high,ord_000795,cust_0263,chef_071,THB,455.16,455.16,completed,refunded,455.16,internal+processor_b,2026-05-27T23:33:55Z,processor refunded customer; internal record still shows completed
refund_not_applied,high,ord_000227,cust_1764,chef_166,PHP,450.55,450.55,completed,refunded,450.55,internal+processor_a,2026-05-28T11:58:16Z,processor refunded customer; internal record still shows completed
missing_in_settlement,high,ord_000377,cust_0048,chef_223,THB,437.78,0.00,completed,,437.78,internal,2026-05-25T15:29:27Z,internal order has no matching processor settlement
missing_in_settlement,high,ord_000914,cust_1657,chef_098,PHP,435.49,0.00,completed,,435.49,internal,2026-05-31T01:31:49Z,internal order has no matching processor settlement
missing_in_settlement,high,ord_000899,cust_1711,chef_121,IDR,431.28,0.00,completed,,431.28,internal,2026-05-27T03:23:05Z,internal order has no matching processor settlement
missing_in_database,high,ord_phantom_00951,,,IDR,0.00,431.23,,completed,431.23,processor_b,2026-05-31T15:31:07Z,processor processor_b settled IDR 431.23 with no matching internal order (reference ord_phantom_00951)
missing_in_settlement,high,ord_000704,cust_0297,chef_039,PHP,428.74,0.00,completed,,428.74,internal,2026-05-27T00:55:14Z,internal order has no matching processor settlement
missing_in_settlement,high,ord_000992,cust_0207,chef_110,IDR,424.59,0.00,completed,,424.59,internal,2026-05-27T17:01:16Z,internal order has no matching processor settlement
missing_in_settlement,high,ord_000589,cust_1055,chef_189,PHP,414.60,0.00,completed,,414.60,internal,2026-05-31T17:42:17Z,internal order has no matching processor settlement
missing_in_settlement,high,ord_000924,cust_1993,chef_002,IDR,406.09,0.00,completed,,406.09,internal,2026-05-26T13:41:19Z,internal order has no matching processor settlement
missing_in_settlement,high,ord_000466,cust_1580,chef_040,PHP,402.16,0.00,completed,,402.16,internal,2026-05-26T04:45:54Z,internal order has no matching processor settlement
missing_in_settlement,high,ord_000619,cust_1979,chef_166,PHP,402.01,0.00,completed,,402.01,internal,2026-05-28T22:48:37Z,internal order has no matching processor settlement
missing_in_database,high,ord_phantom_00900,,,PHP,0.00,399.56,,completed,399.56,processor_b,2026-05-27T11:43:48Z,processor processor_b settled PHP 399.56 with no matching internal order (reference ord_phantom_00900)
missing_in_database,high,ord_phantom_00246,,,THB,0.00,395.13,,completed,395.13,processor_b,2026-05-30T23:25:45Z,processor processor_b settled THB 395.13 with no matching internal order (reference ord_phantom_00246)
amount_mismatch,high,ord_000496,cust_1303,chef_256,PHP,471.28,865.05,completed,completed,393.77,internal+processor_b,2026-05-30T22:54:20Z,amount differs by PHP 393.77 (internal PHP 471.28 vs processor_b PHP 865.05)
missing_in_database,high,ord_phantom_00563,,,PHP,0.00,387.20,,completed,387.20,processor_a,2026-05-31T12:10:16Z,processor processor_a settled PHP 387.20 with no matching internal order (reference ord_phantom_00563)
missing_in_settlement,high,ord_000697,cust_1976,chef_067,PHP,375.92,0.00,completed,,375.92,internal,2026-05-28T18:41:28Z,internal order has no matching processor settlement
missing_in_database,high,ord_phantom_00615,,,IDR,0.00,369.96,,completed,369.96,processor_b,2026-05-30T22:17:36Z,processor processor_b settled IDR 369.96 with no matching internal order (reference ord_phantom_00615)
missing_in_database,high,ord_phantom_00735,,,THB,0.00,366.69,,completed,366.69,processor_a,2026-05-29T12:06:37Z,processor processor_a settled THB 366.69 with no matching internal order (reference ord_phantom_00735)
missing_in_database,high,ord_phantom_00766,,,PHP,0.00,363.82,,completed,363.82,processor_b,2026-05-31T22:12:51Z,processor processor_b settled PHP 363.82 with no matching internal order (reference ord_phantom_00766)
missing_in_database,high,ord_phantom_00411,,,THB,0.00,362.71,,completed,362.71,processor_a,2026-05-29T06:54:44Z,processor processor_a settled THB 362.71 with no matching internal order (reference ord_phantom_00411)
missing_in_database,high,ord_phantom_00763,,,PHP,0.00,343.61,,completed,343.61,processor_a,2026-05-25T05:56:52Z,processor processor_a settled PHP 343.61 with no matching internal order (reference ord_phantom_00763)
missing_in_settlement,high,ord_000001,cust_1301,chef_234,IDR,342.21,0.00,completed,,342.21,internal,2026-05-25T18:36:48Z,internal order has no matching processor settlement
missing_in_database,high,ord_phantom_00412,,,PHP,0.00,336.99,,completed,336.99,processor_b,2026-05-25T18:39:16Z,processor processor_b settled PHP 336.99 with no matching internal order (reference ord_phantom_00412)
missing_in_database,high,ord_phantom_00140,,,THB,0.00,335.66,,completed,335.66,processor_b,2026-05-31T01:47:32Z,processor processor_b settled THB 335.66 with no matching internal order (reference ord_phantom_00140)
amount_mismatch,high,ord_000012,cust_1700,chef_266,PHP,187.81,-145.18,completed,completed,332.99,internal+processor_a,2026-05-26T17:27:07Z,amount differs by PHP 332.99 (internal PHP 187.81 vs processor_a PHP -145.18)
missing_in_settlement,high,ord_000545,cust_0393,chef_134,IDR,329.10,0.00,completed,,329.10,internal,2026-05-28T13:07:45Z,internal order has no matching processor settlement
missing_in_database,high,ord_phantom_00981,,,PHP,0.00,326.88,,completed,326.88,processor_b,2026-05-26T10:32:22Z,processor processor_b settled PHP 326.88 with no matching internal order (reference ord_phantom_00981)
refund_not_applied,high,ord_000749,cust_1987,chef_100,IDR,322.29,322.29,completed,refunded,322.29,internal+processor_a,2026-05-28T19:16:38Z,processor refunded customer; internal record still shows completed
missing_in_database,high,ord_phantom_00805,,,THB,0.00,309.07,,completed,309.07,processor_a,2026-05-28T22:10:15Z,processor processor_a settled THB 309.07 with no matching internal order (reference ord_phantom_00805)
missing_in_database,high,ord_phantom_00220,,,PHP,0.00,301.06,,completed,301.06,processor_b,2026-05-27T20:25:08Z,processor processor_b settled PHP 301.06 with no matching internal order (reference ord_phantom_00220)
missing_in_settlement,high,ord_000718,cust_1733,chef_011,PHP,287.75,0.00,completed,,287.75,internal,2026-05-30T20:01:37Z,internal order has no matching processor settlement
