transaction_id,merchant_reference,gross_amount,currency_code,state,processed_at
txn_A_ord_000000,ord_000000,175.96,THB,SETTLED,2026-05-25T09:16:34Z
txn_A_000003,ord_phantom_00003,58.35,IDR,SETTLED,2026-05-25T07:45:52Z
txn_A_ord_000005,ord_000005,285.28,PHP,SETTLED,2026-05-31T12:53:13Z
txn_A_ord_000007,ord_000007,386.81,IDR,SETTLED,2026-05-28T07:05:39Z
txn_A_ord_000008,ord_000008,164.77,PHP,SETTLED,2026-05-27T00:39:32Z
txn_A_ord_000009,ord_000009,194.27,PHP,SETTLED,2026-05-29T06:50:30Z
txn_A_ord_000010,ord_000010,287.95,PHP,SETTLED,2026-05-25T18:24:44Z
txn_A_ord_000012,ord_000012,-145.18,PHP,SETTLED,2026-05-26T17:27:07Z
txn_A_ord_000013,ord_000013,52.96,PHP,SETTLED,2026-05-29T23:50:24Z
txn_A_ord_000016,ord_000016,257.96,THB,SETTLED,2026-05-30T22:13:00Z
txn_A_ord_000017,ord_000017,476.32,IDR,SETTLED,2026-05-25T12:54:10Z
txn_A_ord_000018,ord_000018,82.94,IDR,SETTLED,2026-05-30T10:45:10Z
txn_A_ord_000020,ord_000020,310.39,PHP,SETTLED,2026-05-31T13:05:46Z
txn_A_ord_000021,ord_000021,354.54,IDR,SETTLED,2026-05-25T03:20:07Z
txn_A_ord_000022,ord_000022,343.09,PHP,SETTLED,2026-05-31T19:55:45Z
txn_A_ord_000023,ord_000023,9.87,PHP,SETTLED,2026-05-26T20:40:50Z
txn_A_ord_000025,ord_000025,159.37,PHP,SETTLED,2026-05-31T13:35:07Z
txn_A_ord_000026,ord_000026,114.07,PHP,SETTLED,2026-05-26T03:05:57Z
txn_A_ord_000028,ord_000028,140.28,IDR,SETTLED,2026-05-26T00:26:16Z
txn_A_ord_000031,ord_000031,293.01,PHP,SETTLED,2026-05-26T18:46:44Z
txn_A_ord_000033,ord_000033,435.95,IDR,SETTLED,2026-05-30T20:20:57Z
txn_A_ord_000034,ord_000034,292.44,PHP,SETTLED,2026-05-28T10:35:12Z
txn_A_ord_000035,ord_000035,337.35,IDR,SETTLED,2026-05-27T17:31:13Z
txn_A_ord_000036,ord_000036,494.22,PHP,SETTLED,2026-05-26T15:53:32Z
txn_A_ord_000039,ord_000039,13.11,IDR,SETTLED,2026-05-26T13:42:59Z
txn_A_ord_000045,ord_000045,209.83,IDR,SETTLED,2026-05-27T05:18:34Z
txn_A_ord_000046,ord_000046,230.15,IDR,SETTLED,2026-05-31T21:19:13Z
txn_A_ord_000047,ord_000047,124.31,THB,SETTLED,2026-05-25T11:55:41Z
txn_A_ord_000048,ord_000048,134.12,PHP,SETTLED,2026-05-25T03:23:36Z
txn_A_ord_000049,ord_000049,463.89,PHP,SETTLED,2026-05-30T02:10:21Z
txn_A_ord_000050,ord_000050,161.88,THB,SETTLED,2026-05-31T02:12:25Z
txn_A_ord_000051,ord_000051,199.79,IDR,SETTLED,2026-05-30T04:15:01Z
txn_A_ord_000053,ord_000053,486.01,PHP,SETTLED,2026-05-27T00:41:30Z
txn_A_ord_000056,ord_000056,247.20,IDR,SETTLED,2026-05-27T17:28:13Z
txn_A_ord_000060,ord_000060,443.60,THB,SETTLED,2026-05-28T02:24:57Z
txn_A_ord_000062,ord_000062,348.83,PHP,SETTLED,2026-05-27T09:50:16Z
txn_A_ord_000064,ord_000064,429.51,THB,SETTLED,2026-05-25T23:21:37Z
txn_A_ord_000066,ord_000066,291.62,PHP,SETTLED,2026-05-29T09:45:02Z
txn_A_ord_000067,ord_000067,463.30,IDR,SETTLED,2026-05-25T04:15:04Z
txn_A_ord_000068,ord_000068,186.92,IDR,SETTLED,2026-05-29T13:49:25Z
txn_A_ord_000069,ord_000069,258.22,PHP,SETTLED,2026-05-29T05:02:05Z
txn_A_ord_000070,ord_000070,58.26,PHP,SETTLED,2026-05-29T06:11:39Z
txn_A_ord_000073,ord_000073,190.14,PHP,SETTLED,2026-05-28T12:05:49Z
txn_A_ord_000075,ord_000075,315.57,THB,SETTLED,2026-05-27T14:52:05Z
txn_A_ord_000077,ord_000077,121.85,IDR,SETTLED,2026-05-30T13:37:36Z
txn_A_ord_000078,ord_000078,397.62,PHP,SETTLED,2026-05-25T17:51:56Z
txn_A_ord_000079,ord_000079,157.26,PHP,SETTLED,2026-05-27T03:55:13Z
txn_A_ord_000082,ord_000082,219.97,PHP,SETTLED,2026-05-25T21:19:33Z
txn_A_ord_000084,ord_000084,343.13,PHP,SETTLED,2026-05-28T21:39:21Z
txn_A_ord_000085,ord_000085,216.08,IDR,SETTLED,2026-05-29T05:11:39Z
txn_A_ord_000087,ord_000087,141.22,IDR,SETTLED,2026-05-30T11:43:29Z
txn_A_ord_000088,ord_000088,84.91,PHP,SETTLED,2026-05-31T18:44:14Z
txn_A_ord_000092,ord_000092,86.00,THB,SETTLED,2026-05-26T11:50:43Z
txn_A_ord_000093,ord_000093,152.04,IDR,SETTLED,2026-05-29T00:32:58Z
txn_A_ord_000097,ord_000097,138.17,THB,SETTLED,2026-05-27T09:30:12Z
txn_A_ord_000098,ord_000098,274.37,IDR,SETTLED,2026-05-28T23:45:21Z
txn_A_ord_000099,ord_000099,8.55,PHP,SETTLED,2026-05-31T16:48:33Z
txn_A_ord_000100,ord_000100,266.18,PHP,SETTLED,2026-05-31T00:51:20Z
txn_A_ord_000101,ord_000101,12.07,PHP,SETTLED,2026-05-28T20:14:05Z
txn_A_ord_000102,ord_000102,496.63,PHP,SETTLED,2026-05-26T04:30:06Z
txn_A_ord_000103,ord_000103,134.83,PHP,SETTLED,2026-05-25T03:42:30Z
txn_A_ord_000104,ord_000104,393.20,THB,SETTLED,2026-05-25T14:30:50Z
txn_A_ord_000107,ord_000107,396.05,IDR,SETTLED,2026-05-31T13:06:21Z
txn_A_ord_000110,ord_000110,474.87,PHP,REFUNDED,2026-05-27T11:50:17Z
txn_A_ord_000111,ord_000111,293.62,IDR,SETTLED,2026-05-30T01:06:18Z
txn_A_ord_000113,ord_000113,10.24,IDR,SETTLED,2026-05-30T06:37:58Z
txn_A_ord_000115,ord_000115,206.32,THB,SETTLED,2026-05-27T04:35:50Z
txn_A_ord_000118,ord_000118,129.03,PHP,SETTLED,2026-05-26T02:17:09Z
txn_A_ord_000122,ord_000122,419.91,THB,SETTLED,2026-05-28T04:11:27Z
txn_A_000126,ord_phantom_00126,108.78,PHP,SETTLED,2026-05-29T14:18:18Z
txn_A_ord_000128,ord_000128,168.80,IDR,SETTLED,2026-05-27T18:33:31Z
txn_A_ord_000129,ord_000129,424.36,IDR,SETTLED,2026-05-31T09:11:27Z
txn_A_ord_000130,ord_000130,201.88,THB,SETTLED,2026-05-27T04:14:57Z
txn_A_ord_000133,ord_000133,217.78,PHP,SETTLED,2026-05-26T13:35:16Z
txn_A_ord_000134,ord_000134,165.68,PHP,SETTLED,2026-05-25T00:11:04Z
txn_A_000135,ord_phantom_00135,168.53,IDR,SETTLED,2026-05-28T11:55:36Z
txn_A_ord_000137,ord_000137,218.24,PHP,SETTLED,2026-05-27T15:15:36Z
txn_A_ord_000138,ord_000138,475.68,IDR,SETTLED,2026-05-29T02:02:34Z
txn_A_ord_000139,ord_000139,274.65,THB,SETTLED,2026-05-28T07:33:31Z
txn_A_ord_000141,ord_000141,299.49,PHP,SETTLED,2026-05-27T17:29:36Z
txn_A_ord_000145,ord_000145,103.57,THB,SETTLED,2026-05-27T08:22:17Z
txn_A_ord_000146,ord_000146,297.49,PHP,SETTLED,2026-05-30T04:45:31Z
txn_A_ord_000149,ord_000149,339.78,PHP,SETTLED,2026-05-29T02:47:27Z
txn_A_ord_000150,ord_000150,57.80,PHP,SETTLED,2026-05-30T17:55:03Z
txn_A_ord_000153,ord_000153,271.08,THB,SETTLED,2026-05-30T18:49:23Z
txn_A_ord_000155,ord_000155,142.55,PHP,SETTLED,2026-05-31T15:22:01Z
txn_A_ord_000159,ord_000159,38.31,PHP,SETTLED,2026-05-28T09:30:34Z
txn_A_ord_000162,ord_000162,396.05,PHP,SETTLED,2026-05-28T10:27:53Z
txn_A_ord_000163,ord_000163,186.47,IDR,SETTLED,2026-05-28T10:39:09Z
txn_A_ord_000167,ord_000167,332.43,PHP,SETTLED,2026-05-27T06:38:32Z
txn_A_ord_000168,ord_000168,29.76,PHP,SETTLED,2026-05-26T05:07:25Z
txn_A_ord_000169,ord_000169,399.48,PHP,SETTLED,2026-05-28T21:15:42Z
txn_A_ord_000171,ord_000171,492.83,PHP,SETTLED,2026-05-31T15:44:24Z
txn_A_ord_000172,ord_000172,431.84,THB,SETTLED,2026-05-30T05:57:24Z
txn_A_ord_000176,ord_000176,235.58,IDR,SETTLED,2026-05-27T03:12:29Z
txn_A_ord_000177,ord_000177,183.75,IDR,SETTLED,2026-05-27T01:16:23Z
txn_A_ord_000179,ord_000179,181.36,PHP,SETTLED,2026-05-28T00:53:48Z
txn_A_ord_000180,ord_000180,263.04,THB,SETTLED,2026-05-30T05:03:02Z
txn_A_ord_000183,ord_000183,130.78,THB,SETTLED,2026-05-29T23:42:06Z
txn_A_ord_000184,ord_000184,255.74,PHP,SETTLED,2026-05-28T23:19:38Z
txn_A_ord_000185,ord_000185,205.44,THB,SETTLED,2026-05-30T00:33:37Z
txn_A_ord_000189,ord_000189,476.75,THB,SETTLED,2026-05-28T08:39:35Z
txn_A_ord_000192,ord_000192,348.20,THB,SETTLED,2026-05-26T15:07:21Z
txn_A_ord_000193,ord_000193,174.43,THB,SETTLED,2026-05-25T21:48:46Z
txn_A_ord_000194,ord_000194,24.21,PHP,SETTLED,2026-05-25T17:50:40Z
txn_A_ord_000196,ord_000196,105.88,IDR,SETTLED,2026-05-28T12:19:28Z
txn_A_ord_000199,ord_000199,166.56,PHP,SETTLED,2026-05-26T20:06:23Z
txn_A_ord_000200,ord_000200,256.40,THB,SETTLED,2026-05-31T02:43:27Z
txn_A_ord_000202,ord_000202,409.90,IDR,SETTLED,2026-05-31T13:59:12Z
txn_A_ord_000206,ord_000206,262.14,IDR,SETTLED,2026-05-30T11:27:11Z
txn_A_ord_000207,ord_000207,214.12,THB,SETTLED,2026-05-26T10:53:12Z
txn_A_ord_000209,ord_000209,125.61,PHP,SETTLED,2026-05-26T07:14:37Z
txn_A_ord_000212,ord_000212,437.88,PHP,SETTLED,2026-05-25T03:59:45Z
txn_A_ord_000214,ord_000214,348.53,THB,SETTLED,2026-05-31T10:27:35Z
txn_A_ord_000215,ord_000215,365.64,IDR,SETTLED,2026-05-27T01:04:14Z
txn_A_ord_000217,ord_000217,7.13,PHP,SETTLED,2026-05-26T14:03:40Z
txn_A_ord_000219,ord_000219,234.05,THB,SETTLED,2026-05-25T11:25:50Z
txn_A_ord_000223,ord_000223,180.42,PHP,SETTLED,2026-05-28T13:58:14Z
txn_A_ord_000226,ord_000226,86.71,IDR,SETTLED,2026-05-30T14:00:19Z
txn_A_ord_000227,ord_000227,450.55,PHP,REFUNDED,2026-05-28T11:58:16Z
txn_A_ord_000229,ord_000229,23.85,PHP,SETTLED,2026-05-26T07:14:38Z
txn_A_ord_000231,ord_000231,464.63,THB,SETTLED,2026-05-25T19:54:38Z
txn_A_ord_000232,ord_000232,289.83,IDR,SETTLED,2026-05-27T23:39:05Z
txn_A_ord_000233,ord_000233,102.12,PHP,SETTLED,2026-05-27T12:02:00Z
txn_A_ord_000234,ord_000234,173.34,PHP,SETTLED,2026-05-26T16:40:14Z
txn_A_ord_000239,ord_000239,91.43,PHP,SETTLED,2026-05-31T13:52:35Z
txn_A_ord_000241,ord_000241,197.54,PHP,SETTLED,2026-05-25T00:55:36Z
txn_A_ord_000243,ord_000243,235.16,PHP,SETTLED,2026-05-31T11:28:23Z
txn_A_ord_000244,ord_000244,195.53,PHP,SETTLED,2026-05-30T02:49:06Z
txn_A_ord_000245,ord_000245,356.07,IDR,SETTLED,2026-05-29T10:00:01Z
txn_A_ord_000250,ord_000250,38.36,IDR,SETTLED,2026-05-29T18:23:38Z
txn_A_ord_000253,ord_000253,185.21,PHP,SETTLED,2026-05-30T10:19:16Z
txn_A_ord_000257,ord_000257,72.97,IDR,SETTLED,2026-05-28T04:49:53Z
txn_A_ord_000258,ord_000258,309.45,IDR,SETTLED,2026-05-29T19:46:10Z
txn_A_ord_000259,ord_000259,443.38,PHP,SETTLED,2026-05-28T16:53:54Z
txn_A_ord_000260,ord_000260,281.27,THB,SETTLED,2026-05-30T16:18:57Z
txn_A_ord_000261,ord_000261,261.34,PHP,SETTLED,2026-05-25T09:21:27Z
txn_A_ord_000263,ord_000263,39.25,IDR,SETTLED,2026-05-28T16:53:01Z
